Date,Open,High,Low,Close,Volume,Stoch_%K,Stoch_%D,Williams_%R,A/D Oscillator,Momentum,Disparity Index 7,ROC,positive,negative,neutral,Open_BTC,High_BTC,Low_BTC,Close_BTC,Volume_BTC,Open_ETH,High_ETH,Low_ETH,Close_ETH,Volume_ETH,Open_USDT,High_USDT,Low_USDT,Close_USDT,Volume_USDT,Open_SOL,High_SOL,Low_SOL,Close_SOL,Volume_SOL,Open_STETH,High_STETH,Low_STETH,Close_STETH,Volume_STETH
2021-01-03,38.253727,41.606323,37.818104,41.148979,758008613,96.03414074263428,88.68199911836489,-3.9658592573657128,20525765994.340576,26.609940723847135,107.63719877540244,22.895328690890647,3,0,0,32129.408203,34608.558594,32052.316406,32782.023438,78665235202,774.511841,1006.565002,771.561646,975.50769,45200463368,1.000427,1.001902,0.999169,1.000514,120425679796,1.799902,2.364981,1.799902,2.161752,55073422,763.155396,977.108093,759.688171,952.199768,35084
2021-01-04,41.19828,43.132122,38.143982,40.926353,807877171,83.10768706002918,88.64539830249578,-16.892312939970818,20619152224.990265,23.40233705595547,105.05978210967648,31.604885320544813,0,0,0,32810.949219,33440.21875,28722.755859,31971.914063,81163475344,977.058838,1153.189209,912.305359,1040.233032,56945985763,1.0005,1.002994,0.99943,1.000128,125906387011,2.162412,2.485097,1.876342,2.485097,59955405,952.166809,1131.822021,915.194702,991.251221,289731
2021-01-05,40.937279,41.7346,38.978954,41.7346,644270927,89.29743823378881,89.47975534548408,-10.702561766211192,21263423151.990265,24.665969813011795,106.05271048651753,28.411818726619465,1,0,0,31977.041016,34437.589844,30221.1875,33992.429688,67547324782,1041.498779,1129.37146,986.811279,1100.006104,41535932781,1.000174,1.002832,0.999844,1.002202,101918715244,2.490982,2.502616,2.077742,2.157217,50555207,991.234375,1122.012329,931.332825,1103.26123,425083
2021-01-06,41.775536,42.192703,40.592529,42.165955,641021601,92.3781702140046,88.26109850260752,-7.621829785995387,21883014526.297977,25.82402199962233,105.60402317403302,27.140021276663735,0,0,0,34013.613281,36879.699219,33514.035156,36824.363281,75289433811,1101.005005,1209.428589,1064.233398,1207.112183,44699914188,1.002229,1.002825,0.999568,1.001528,116105139289,2.159626,2.185892,1.907585,1.929217,50263975,1103.696655,1181.434937,1063.988037,1181.434937,37248
2021-01-07,42.196625,44.470036,41.495869,43.44949,829964770,91.90414366994445,91.1932507059126,-8.095856330055549,22143396467.785378,21.216416695208892,106.50429746820502,29.78854017363908,2,0,1,36833.875,40180.367188,36491.191406,39371.042969,84762141031,1208.078369,1282.57959,1167.443115,1225.678101,40468027280,1.001448,1.002573,0.99907,1.0004,129467601516,1.936586,2.611831,1.933043,2.372745,159870278,1181.355591,1269.735352,1135.375854,1214.637329,32000
2021-01-08,43.568687,43.590466,40.534481,42.395317,650561500,83.24430479563681,89.17553955986193,-16.755695204363196,22285108659.844727,8.837575887616474,102.31154938908536,26.508442626022887,0,0,0,39381.765625,41946.738281,36838.636719,40797.609375,88107519480,1225.967896,1273.827515,1076.081543,1224.197144,44334826666,1.000365,1.001178,0.999135,1.000045,131555961745,2.36874,3.77932,2.180929,3.219887,206412154,1215.411499,1334.820068,1078.89978,1228.185181,57019
2021-01-09,42.373695,44.119743,41.590103,43.932854,590039660,95.66164966857188,90.27003271138436,-4.338350331428133,22787964434.376644,15.199574033127854,103.98183896005196,22.564917035246555,0,0,0,40788.640625,41436.351563,38980.875,40254.546875,61984162837,1223.740479,1303.871826,1182.270386,1281.077271,33233105361,1.000014,1.003157,0.999637,1.002947,103292241007,3.223541,3.662788,2.938307,3.385382,91906875,1228.187256,1301.057861,1158.051758,1247.873413,17155
2021-01-10,43.944122,45.155418,40.594864,42.448475,701488832,76.97032895774554,85.29209447398472,-23.02967104225447,22656707822.13431,13.571373035459048,100.02904565421656,8.974043504052371,0,0,0,40254.21875,41420.191406,35984.628906,38356.441406,79980747690,1280.871094,1347.926147,1194.715576,1262.246704,40616938053,1.002924,1.002926,0.99854,1.000223,135437984723,3.390026,3.733551,3.196235,3.466111,62766977,1247.931641,1343.877808,1210.178223,1281.677002,27993
2021-01-11,42.472622,42.477501,35.170883,38.371361,890728694,32.05435205545375,68.2287768939237,-67.94564794454625,22546301183.869465,1.2303149372602806,91.205875616454,0.616373392709133,1,0,0,38346.53125,38346.53125,30549.599609,35566.65625,123320567399,1261.622925,1261.622925,924.922607,1090.145386,60733630300,1.000252,1.00109,0.993953,1.000587,180779058885,3.461065,3.513571,2.597124,3.10809,82877500,1281.691284,1283.800293,934.25946,1095.703125,41918
2021-01-12,38.279518,39.930908,37.185501,38.11161,567249584,29.452818784249818,46.15916659914968,-70.54718121575019,22361752558.22548,-0.3398969373450725,91.71679007669624,1.9680418741057488,0,0,0,35516.359375,36568.527344,32697.976563,33922.960938,74773277909,1088.526733,1149.240234,1012.76416,1043.43457,37494601692,1.000592,1.001289,0.999028,1.000414,117509616511,3.103688,3.844416,3.080035,3.613398,73484689,1095.786987,1133.730469,1000.981873,1034.853027,22283
2021-01-13,38.109425,40.401543,37.143784,40.135933,542384725,49.72740342940358,37.0781914230357,-50.27259657059642,22815694395.45677,-2.4618982648390757,97.26721670553874,5.885562357060463,1,0,0,33915.121094,37599.960938,32584.667969,37316.359375,69364315979,1043.740967,1134.338501,994.549072,1130.73938,30109792795,1.000491,1.00106,0.999226,1.000017,98217076295,3.628383,3.628825,3.274921,3.513782,57994893,1034.779175,1148.287842,797.671997,1138.370605,56553
