Date,Open,High,Low,Close,Volume,Stoch_%K,Stoch_%D,Williams_%R,A/D Oscillator,Momentum,Disparity Index 7,ROC,positive,negative,neutral,Open_BTC,High_BTC,Low_BTC,Close_BTC,Volume_BTC,Open_ETH,High_ETH,Low_ETH,Close_ETH,Volume_ETH,Open_BNB,High_BNB,Low_BNB,Close_BNB,Volume_BNB,Open_SOL,High_SOL,Low_SOL,Close_SOL,Volume_SOL,Open_STETH,High_STETH,Low_STETH,Close_STETH,Volume_STETH
2021-01-03,1.000427,1.001902,0.999169,1.000514,120425679796,72.35304691713026,81.26909940679508,-27.64695308286974,-845003431234.0975,0.0583040229775743,100.03573726170872,0.0873313519553421,3,0,0,32129.408203,34608.558594,32052.316406,32782.023438,78665235202,774.511841,1006.565002,771.561646,975.50769,45200463368,38.253727,41.606323,37.818104,41.148979,758008613,1.799902,2.364981,1.799902,2.161752,55073422,763.155396,977.108093,759.688171,952.199768,35084
2021-01-04,1.0005,1.002994,0.99943,1.000128,125906387011,55.94158339738597,67.3978685625054,-44.05841660261403,-921592950605.5555,-0.003999328112881,99.9753663663934,0.0702403179424859,0,0,0,32810.949219,33440.21875,28722.755859,31971.914063,81163475344,977.058838,1153.189209,912.305359,1040.233032,56945985763,41.19828,43.132122,38.143982,40.926353,807877171,2.162412,2.485097,1.876342,2.485097,59955405,952.166809,1131.822021,915.194702,991.251221,289731
2021-01-05,1.000174,1.002832,0.999844,1.002202,101918715244,87.82475019216132,72.03979350222586,-12.175249807838677,-862652006849.9833,0.372666079775187,100.13104046068692,0.2271156709812999,1,0,0,31977.041016,34437.589844,30221.1875,33992.429688,67547324782,1041.498779,1129.37146,986.811279,1100.006104,41535932781,40.937279,41.7346,38.978954,41.7346,644270927,2.490982,2.502616,2.077742,2.157217,50555207,991.234375,1122.012329,931.332825,1103.26123,425083
2021-01-06,1.002229,1.002825,0.999568,1.001528,116105139289,77.46348962336708,73.7432744043048,-22.536510376632915,-839017463605.0988,0.2677067919836086,100.04580815430812,0.135977155837822,0,0,0,34013.613281,36879.699219,33514.035156,36824.363281,75289433811,1101.005005,1209.428589,1064.233398,1207.112183,44699914188,41.775536,42.192703,40.592529,42.165955,641021601,2.159626,2.185892,1.907585,1.929217,50263975,1103.696655,1181.434937,1063.988037,1181.434937,37248
2021-01-07,1.001448,1.002573,0.99907,1.0004,129467601516,60.12298232129144,75.13707404560661,-39.87701767870856,-870173954635.0718,0.1799513920947501,99.9359523969901,0.1921919395561862,2,0,1,36833.875,40180.367188,36491.191406,39371.042969,84762141031,1208.078369,1282.57959,1167.443115,1225.678101,40468027280,42.196625,44.470036,41.495869,43.44949,829964770,1.936586,2.611831,1.933043,2.372745,159870278,1181.355591,1269.735352,1135.375854,1214.637329,32000
2021-01-08,1.000365,1.001178,0.999135,1.000045,131555961745,54.665641813991144,64.0840379195499,-45.334358186008856,-884533709637.0804,0.145705444677004,99.9271706452307,0.1192366451953992,0,0,0,39381.765625,41946.738281,36838.636719,40797.609375,88107519480,1225.967896,1273.827515,1076.081543,1224.197144,44334826666,43.568687,43.590466,40.534481,42.395317,650561500,2.36874,3.77932,2.180929,3.219887,206412154,1215.411499,1334.820068,1078.89978,1228.185181,57019
2021-01-09,1.000014,1.003157,0.999637,1.002947,103292241007,96.8506298740246,70.5464180031024,-3.1493701259754014,-793566111022.9634,0.2671265402014454,100.1835820955158,0.435007705764955,0,0,0,40788.640625,41436.351563,38980.875,40254.546875,61984162837,1223.740479,1303.871826,1182.270386,1281.077271,33233105361,42.373695,44.119743,41.590103,43.932854,590039660,3.223541,3.662788,2.938307,3.385382,91906875,1228.187256,1301.057861,1158.051758,1247.873413,17155
2021-01-10,1.002924,1.002926,0.99854,1.000223,135437984723,49.699982856164105,67.07208484805996,-50.300017143835895,-825063316772.4921,-0.0374775884021369,99.9156329250216,0.163530578115153,0,0,0,40254.21875,41420.191406,35984.628906,38356.441406,79980747690,1280.871094,1347.926147,1194.715576,1262.246704,40616938053,43.944122,45.155418,40.594864,42.448475,701488832,3.390026,3.733551,3.196235,3.466111,62766977,1247.931641,1343.877808,1210.178223,1281.677002,27993
2021-01-11,1.000252,1.00109,0.993953,1.000587,180779058885,72.07735767057632,72.87599013358836,-27.92264232942367,-669766075631.4125,-0.132645850550359,99.9454475300274,0.0311914223588381,1,0,0,38346.53125,38346.53125,30549.599609,35566.65625,123320567399,1261.622925,1261.622925,924.922607,1090.145386,60733630300,42.472622,42.477501,35.170883,38.371361,890728694,3.461065,3.513571,2.597124,3.10809,82877500,1281.691284,1283.800293,934.25946,1095.703125,41918
2021-01-12,1.000592,1.001289,0.999028,1.000414,117509616511,70.19774011299292,63.9916935465778,-29.80225988700708,-643208174686.218,-0.0185888466919867,99.95366923660146,-0.0183890033759995,0,0,0,35516.359375,36568.527344,32697.976563,33922.960938,74773277909,1088.526733,1149.240234,1012.76416,1043.43457,37494601692,38.279518,39.930908,37.185501,38.11161,567249584,3.103688,3.844416,3.080035,3.613398,73484689,1095.786987,1133.730469,1000.981873,1034.853027,22283
2021-01-13,1.000491,1.00106,0.999226,1.000017,98217076295,65.88439808778675,69.38649862378534,-34.11560191221326,-656703650818.3622,-0.0496744673237925,99.93555693781528,-0.1895368474003903,1,0,0,33915.121094,37599.960938,32584.667969,37316.359375,69364315979,1043.740967,1134.338501,994.549072,1130.73938,30109792795,38.109425,40.401543,37.143784,40.135933,542384725,3.628383,3.628825,3.274921,3.513782,57994893,1034.779175,1148.287842,797.671997,1138.370605,56553
2021-01-14,1.00002,1.00087,0.998922,0.998964,97567813514,54.443720121685494,63.508619440821725,-45.556279878314506,-750064228020.6714,-0.1163851027068478,99.85079671470044,-0.1635018988606807,0,0,0,37325.109375,39966.40625,36868.5625,39187.328125,63615990033,1130.231201,1244.163086,1093.060791,1218.453003,33410915929,40.118828,41.8731,39.656357,41.793682,534108764,3.516036,3.542866,3.181974,3.278164,59283112,1138.386597,1229.111938,1121.487061,1211.478882,68022
2021-01-15,0.998977,1.000167,0.998564,0.999845,112214718054,64.01564537157697,61.44792119368308,-35.984354628423034,-682931405429.4194,-0.2351821289520529,99.9417106704458,-0.0668656310656242,1,0,0,39156.707031,39577.710938,34659.589844,36825.367188,67760757881,1221.877197,1250.505859,1090.721069,1171.834595,35972039310,41.794952,42.41106,39.095463,40.91898,562019413,3.280399,3.435922,2.985191,3.250161,45331739,1211.729492,1238.027222,1091.786987,1170.951904,295924
2021-01-16,0.999835,1.001532,0.999424,1.000195,101603530718,67.81833985223709,62.092568448499854,-32.18166014776291,-710212049825.2463,-0.1330966283518811,100.0159994400196,0.0066991425097626,0,0,0,36821.648438,37864.367188,35633.554688,36178.140625,57706187875,1171.443115,1290.053589,1157.623779,1233.537598,32319240157,40.919434,43.917919,40.733822,43.171825,604218252,3.248934,3.703232,3.248934,3.447055,68035606,1170.866699,1286.346069,1156.919189,1224.339478,83899
