Date,Open,High,Low,Close,Volume,Stoch_%K,Stoch_%D,Williams_%R,A/D Oscillator,Momentum,Disparity Index 7,ROC,positive,negative,neutral,Open_BTC,High_BTC,Low_BTC,Close_BTC,Volume_BTC,Open_ETH,High_ETH,Low_ETH,Close_ETH,Volume_ETH,Open_USDT,High_USDT,Low_USDT,Close_USDT,Volume_USDT,Open_BNB,High_BNB,Low_BNB,Close_BNB,Volume_BNB,Open_STETH,High_STETH,Low_STETH,Close_STETH,Volume_STETH
2021-01-13,3.628383,3.628825,3.274921,3.513782,57994893,86.30434773603828,82.72019460926465,-13.695652263961724,91444064.5221226,62.54325195489585,108.45295476356402,90.75036751852792,1,0,0,33915.121094,37599.960938,32584.667969,37316.359375,69364315979,1043.740967,1134.338501,994.549072,1130.73938,30109792795,1.000491,1.00106,0.999226,1.000017,98217076295,38.109425,40.401543,37.143784,40.135933,542384725,1034.779175,1148.287842,797.671997,1138.370605,56553
2021-01-14,3.516036,3.542866,3.181974,3.278164,59283112,75.82576339087883,84.18693073269456,-24.174236609121156,63762886.304417565,31.912919294498355,97.29628565228457,82.19360575787469,0,0,0,37325.109375,39966.40625,36868.5625,39187.328125,63615990033,1130.231201,1244.163086,1093.060791,1218.453003,33410915929,1.00002,1.00087,0.998922,0.998964,97567813514,40.118828,41.8731,39.656357,41.793682,534108764,1138.386597,1229.111938,1121.487061,1211.478882,68022
2021-01-15,3.280399,3.435922,2.985191,3.250161,45331739,72.00784386137299,78.04598499609669,-27.992156138627013,71729238.1072689,50.66453676194836,96.34148727288247,50.348467354257096,1,0,0,39156.707031,39577.710938,34659.589844,36825.367188,67760757881,1221.877197,1250.505859,1090.721069,1171.834595,35972039310,0.998977,1.000167,0.998564,0.999845,112214718054,41.794952,42.41106,39.095463,40.91898,562019413,1211.729492,1238.027222,1091.786987,1170.951904,295924
2021-01-16,3.248934,3.703232,3.248934,3.447055,68035606,80.56452535908292,76.13271087044491,-19.435474640917093,63034779.53176124,78.67637492309058,101.9116804025686,38.70907252312485,0,0,0,36821.648438,37864.367188,35633.554688,36178.140625,57706187875,1171.443115,1290.053589,1157.623779,1233.537598,32319240157,0.999835,1.001532,0.999424,1.000195,101603530718,40.919434,43.917919,40.733822,43.171825,604218252,1170.866699,1286.346069,1156.919189,1224.339478,83899
2021-01-17,3.43487,3.965372,3.319746,3.818139,85407766,92.95208781108934,81.84148567718174,-7.047912188910639,109488595.06669945,60.91653338222185,111.22896372347356,76.99373776490727,0,0,0,36163.648438,36722.351563,34069.320313,35791.277344,52359854336,1233.453369,1265.644653,1174.38855,1230.172241,29258032819,1.000227,1.000723,0.999212,1.000414,91132972168,43.156139,46.654545,41.091473,45.684612,664875513,1223.403442,1247.243408,1159.2323,1197.762329,15937
2021-01-18,3.822131,4.14792,3.655761,3.795515,70601713,84.26998640828268,85.92886652615164,-15.730013591717317,78983159.07718585,17.877273332884045,107.49463894429783,96.73862504840048,1,0,0,35792.238281,37299.285156,34883.84375,36630.074219,49511702429,1230.313232,1259.450073,1187.311035,1257.279541,25817455560,1.000412,1.001132,0.999841,1.000804,81024209658,45.767532,46.803802,44.156464,45.353172,586905636,1198.09314,1226.785522,1165.227905,1226.341919,95182
2021-01-19,3.792043,4.031449,3.609023,3.641866,44547768,77.41168173509764,84.87791865148988,-22.58831826490236,41362437.91816623,7.576220349727149,103.0244074262098,53.48745861860418,2,0,0,36642.234375,37755.890625,36069.804688,36069.804688,57244195486,1257.43457,1432.300049,1254.522949,1377.295898,47195935190,1.000769,1.002276,1.000092,1.000436,103734629698,45.33564,47.098103,41.94389,42.785534,750638729,1224.853638,1415.546875,1222.378784,1358.80957,26024
2021-01-20,3.635575,3.737003,3.344084,3.723578,46698656,80.84128373720075,80.84098396019368,-19.158716262799253,84869955.50643246,7.428123334769131,104.45037559992238,15.643126606616937,1,0,0,36050.113281,36378.328125,33570.476563,35547.75,66834573161,1375.248413,1405.744141,1243.299927,1382.274048,46784030909,1.000413,1.000855,0.998861,1.000686,115893865966,42.662949,42.754562,40.306404,42.606899,684094133,1354.383057,1379.204956,1228.925781,1342.860352,8876
2021-01-21,3.72167,3.734326,2.982696,2.990536,43834765,41.159669769714256,66.47087841400422,-58.840330230285744,41949641.9189626,-3.7821942093053846,84.8659314018612,-11.66326281642662,0,0,0,35549.398438,35552.679688,30250.75,30825.699219,75643067688,1382.684448,1382.684448,1098.476196,1121.570923,45932464754,1.000697,1.000819,0.998144,0.999696,125636003892,42.606026,42.635189,38.44939,38.64584,621983627,1342.215088,1342.215088,1092.508423,1118.633667,12499
2021-01-22,2.98992,3.497146,2.540986,3.346229,63361382,50.11052102948846,57.370491512134485,-49.88947897051154,85309539.46595475,-7.393843689513305,94.59144919835376,-3.458689003323899,0,0,0,30817.625,33811.851563,28953.373047,33005.761719,77207272511,1118.889038,1271.687622,1046.596558,1236.512207,43918338506,0.999754,1.001611,0.99926,1.00135,121548669235,38.635311,41.409695,36.953415,40.857571,561072899,1115.111694,1311.234497,1040.855591,1222.07251,17611
