Date,Open,High,Low,Close,Volume,Stoch_%K,Stoch_%D,Williams_%R,A/D Oscillator,Momentum,Disparity Index 7,ROC,positive,negative,neutral,Open_BTC,High_BTC,Low_BTC,Close_BTC,Volume_BTC,Open_USDT,High_USDT,Low_USDT,Close_USDT,Volume_USDT,Open_BNB,High_BNB,Low_BNB,Close_BNB,Volume_BNB,Open_SOL,High_SOL,Low_SOL,Close_SOL,Volume_SOL,Open_STETH,High_STETH,Low_STETH,Close_STETH,Volume_STETH
2021-01-20,1375.248413,1405.744141,1243.299927,1382.274048,46784030909,90.14027884195926,85.95670871318488,-9.859721158040754,1100898015781.5913,9.509024156659638,109.07547406575,12.912699949902844,1,0,0,36050.113281,36378.328125,33570.476563,35547.75,66834573161,1.000413,1.000855,0.998861,1.000686,115893865966,42.662949,42.754562,40.306404,42.606899,684094133,3.635575,3.737003,3.344084,3.723578,46698656,1354.383057,1379.204956,1228.925781,1342.860352,8876
2021-01-21,1382.684448,1382.684448,1098.476196,1121.570923,45932464754,38.75779640987666,72.68573363180779,-61.24220359012334,1062430483706.1172,2.8826922907326855,89.48060085251922,-12.450954490472736,0,0,0,35549.398438,35552.679688,30250.75,30825.699219,75643067688,1.000697,1.000819,0.998144,0.999696,125636003892,42.606026,42.635189,38.44939,38.64584,621983627,3.72167,3.734326,2.982696,2.990536,43834765,1342.215088,1342.215088,1092.508423,1118.633667,12499
2021-01-22,1118.889038,1271.687622,1046.596558,1236.512207,43918338506,61.41179607271544,63.43662377485045,-38.58820392728456,1092622415169.5076,18.50404831804644,97.92890132267163,-2.0387850424523606,0,0,0,30817.625,33811.851563,28953.373047,33005.761719,77207272511,0.999754,1.001611,0.99926,1.00135,121548669235,38.635311,41.409695,36.953415,40.857571,561072899,2.98992,3.497146,2.540986,3.346229,63361382,1115.111694,1311.234497,1040.855591,1222.07251,17611
2021-01-23,1235.267944,1272.151123,1200.893311,1230.990601,27253895441,60.32353208166476,53.49770818808562,-39.67646791833524,1088391073233.7275,8.865988288123475,97.51970479476007,12.919856086057871,0,0,0,32985.757813,33360.976563,31493.160156,32067.642578,48354737975,1.001362,1.001907,1.00048,1.000555,80722167203,40.865093,41.850292,39.586529,40.815479,468609053,3.341035,3.597302,3.315762,3.504112,27904470,1222.151001,1267.663818,1197.516724,1230.167725,13234
2021-01-24,1231.210571,1395.111328,1225.274048,1391.609375,36418163554,91.98019647077648,71.23850820838557,-8.019803529223505,1123307391055.007,14.21116543466715,108.26596652262886,33.36814928414727,0,0,0,32064.376953,32944.007813,31106.685547,32289.378906,48643830599,1.000555,1.003127,1.000276,1.001417,84413124756,40.862473,42.191525,40.504063,41.881607,450486066,3.50711,3.793049,3.489494,3.634411,32747555,1230.349121,1343.751587,1226.185059,1341.546021,8732
2021-01-25,1390.639893,1467.784912,1304.973999,1324.414795,43565777745,69.70429860088362,74.00267571777495,-30.295701399116385,1090145748783.676,13.020626003962604,102.27516023180326,17.12820995055465,0,0,0,32285.798828,34802.742188,32087.787109,32366.392578,59897054838,1.001454,1.00207,0.999651,0.999971,101158851200,41.876053,43.353527,40.633656,41.623703,507172505,3.634645,3.974357,3.45131,3.699981,80055958,1341.330322,1483.993896,1308.195679,1330.399658,2899
2021-01-26,1323.741699,1376.085083,1253.340332,1357.058105,41572917750,76.60219331655016,79.42889612940343,-23.39780668344984,1118830017773.0452,10.01351780442449,105.03046270780526,11.375498411406516,1,1,0,32358.613281,32794.550781,31030.265625,32569.849609,60255421470,0.999953,1.001826,0.999916,1.001081,101647526020,41.655128,42.477215,40.007832,41.694736,546536514,3.698959,4.096916,3.682632,4.04735,78823456,1330.366089,1381.410889,1251.651733,1351.959961,57576
2021-01-27,1358.333374,1368.074097,1215.311279,1253.187134,39394416990,49.04945116312499,65.11864769351959,-50.950548836875015,1098970422741.1316,1.8708675283789005,98.3956511852218,6.9423226918812695,1,0,0,32564.029297,32564.029297,29367.138672,30432.546875,62576762015,1.001102,1.002204,1.000407,1.001764,105901637306,41.756172,42.047836,39.730801,40.994877,519618043,4.04863,4.04863,3.531602,3.690587,35195110,1354.597412,1365.593994,1215.301758,1253.264038,717095
2021-01-28,1251.279785,1356.288696,1226.17395,1332.492188,34637234789,67.87833217249874,64.5099922173913,-32.121667827501255,1120938144502.6946,5.9821737765793985,102.20441685745791,8.022016528757646,0,0,0,30441.041016,33858.3125,30023.207031,33466.097656,76517157706,1.001774,1.002336,1.000765,1.001543,104090387181,40.98642,43.076508,40.507519,42.529106,533847527,3.68637,3.943491,3.609881,3.822072,31410527,1253.187134,1356.335449,1226.17395,1333.482666,142652
2021-01-29,1369.086792,1428.981201,1292.240112,1382.522827,53611955259,79.75678002720844,65.56152112094406,-20.243219972791568,1138120314296.2024,0.3795066120207037,104.37200970535278,12.384492262331907,0,1,0,34318.671875,38406.261719,32064.814453,34316.386719,117894572511,1.001297,1.003223,1.000008,1.000486,183670639698,42.386181,44.009453,41.907001,42.852348,651771603,3.861581,3.892602,3.639386,3.834676,44053151,1369.278809,1426.264893,1292.479004,1363.721436,288
